" Nom Ville ";"MAJ   ";" Code Postal ";" Code INSEE ";"Code Région";" Latitude ";" Longitude ";" Eloignement "
"Aast";"AAST";64460;64001;72;"43.283333";"-0.083333";"0"
"Abainville";"ABAINVILLE";55130;55001;41;"48.533333";"5.5";"0"
"Abancourt";"ABANCOURT";60220;60001;22;"49.7";"1.766667";"0"
"Abancourt";"ABANCOURT";59265;59001;31;"50.233333";"3.216667";"0"
"Abaucourt";"ABAUCOURT";54610;54001;41;"48.9";"6.25";"0"
"Abbans-Dessous";"ABBANS DESSOUS";25320;25001;43;"47.133333";"5.883333";"0"
"Abbans-Dessus";"ABBANS DESSUS";25440;25002;43;"47.116667";"5.883333";"0"
"Abbaretz";"ABBARETZ";44170;44001;52;"47.55";"-1.533333";"0"
"Abbecourt";"ABBECOURT";60430;60002;22;"49.366667";"2.15";"0"
"Abbenans";"ABBENANS";25340;25003;43;"47.5";"6.45";"0"
"Abbeville";"ABBEVILLE";80132;80001;11;"50.1";"1.833333";"0"
"Abbeville-Saint-Lucien";"ABBEVILLE SAINT LUCIEN";60480;60003;22;"49.516667";"2.166667";"0"
"Abbécourt";"ABBECOURT";2300;2001;22;"49.6";"3.183333";"0"
"Abbéville-la-Rivière";"ABBEVILLE LA RIVIERE";91150;91001;82;"48.35";"2.166667";"0"
"Abbéville-lès-Conflans";"ABBEVILLE LES CONFLANS";54800;54002;41;"49.2";"5.85";"0"
"Abbévillers";"ABBEVILLERS";25310;25004;43;"47.433333";"6.916667";"0"
"Abeilhan";"ABEILHAN";34290;34001;91;"43.45";"3.3";"0"
"Abelcourt";"ABELCOURT";70300;70001;72;"47.783333";"6.3";"0"
"Abergement-Saint-Jean";"ABERGEMENT SAINT JEAN";39120;39005;43;"46.883333";"5.366667";"0"
"Abergement-la-Ronce";"ABERGEMENT LA RONCE";39500;39001;43;"47.066667";"5.383333";"0"
"Abergement-le-Grand";"ABERGEMENT LE GRAND";39600;39002;43;"46.916667";"5.683333";"0"
"Abergement-le-Petit";"ABERGEMENT LE PETIT";39800;39003;43;"46.9";"5.7";"0"
"Abergement-lès-Thésy";"ABERGEMENT LES THESY";39110;39004;43;"46.916667";"5.933333";"0"
"Abidos";"ABIDOS";64150;64003;72;"43.4";"-0.616667";"0"
"Abitain";"ABITAIN";64390;64004;72;"43.416667";"-0.983333";"0"
"Ablain-Saint-Nazaire";"ABLAIN SAINT NAZAIRE";62153;62001;31;"50.383333";"2.716667";"0"
"Ablainzevelle";"ABLAINZEVELLE";62116;62002;31;"50.15";"2.733333";"0"
"Ablancourt";"ABLANCOURT";51240;51001;21;"48.816667";"4.533333";"0"
